"","text","topic","linenumber"
"969","As long as the story and the game in general runs smoothly im happy. I dont mind not being able to play as a woman or a man since its a FPS game plus they made up for it with character customisation and most games anyway you cant choose ( of course games that you can choose give a little bit more realism). Also i dont mind the grapling hook, i actually love the idea of it even if it isnt realistic but c'mon its a zombie game it isn supose to be a simulator or realistic (at least for the zombie part). but this is just my opinion and you all have your and i respec them. Also if any of you preordered the game or will buy it for ps3 i would love if you can give me your gamer tag to play it together when it comes out . my gamer tag is TheSpike97 if you want to add me  Realism isn't really my issue though. The thing i'm worried about is how much easier it will become to get from point A to B. I still rather have the grappling hook to be a swinging tool instead of a climbing tool.","Feature requests",324
"970","Realism isn't really my issue though. The thing i'm worried about is how much easier it will become to get from point A to B. I still rather have the grappling hook to be a swinging tool instead of a climbing tool. thats an awesome idea with that it wount b that easy to escape","Feature requests",325
"971"," Alright Folks this is my Drop off, Do comment and enjoy, I've manage to make a list of female co-opcharacters and their customization in my list (if they're gonna be female character in this game for co-opgameplay).[...]  I hope you realize most of this won't be able to be allowed in the game for copyright reasons.Edited August 13, 2014 by Bartosz BuczelukDon't quote big posts or at least cut them.","Feature requests",326
"972","Most, yes that i'm aware of, but i actually don't want most of them to be in the game, just a select few.","Feature requests",327
"973","I want to see 1080p on XBOX ONE","Feature requests",328
"974","I want to see stuff like hospitals, churches, schools, libraries, big retail stores","Feature requests",329
"975","Amen to that, Brother. Amen to that.","Feature requests",330
"976","I am really excited about Dying Light.  There appears to be a lot in this game already I would like to see.  I would say its easier for me to say what I wouldn't like to see. I wouldn't like to see: Timed Quests.  Quest that are chase quests where you follow or do something in a certain time is really a down play on a game like this that offers freedom of choice. If its to be truly open world, lets not have linear quests.  (Must do this quest in order to get next quest), Stand alone missions based on your current skill lvl is best.  If this leads to one or so follow up quests that's fine.  Thanks.","Feature requests",331
"977","In the begining, there was going to be 4 playable characters, not 1. While I prefer playing as a female character, I'm not going to totally disregard a game because I can't; I'm more dissapointed in that a game that offers 4 player co-op, we're all basiclly going to be the same character who will only be unquie by what clothes we put him in and/or skills we develop. Having a choice of 4 different characters was one of the things about this game that drew my attention and offered something new for different playthroughs that isn't available anymore.","Feature requests",332
"978","Well, my idea is that that could realise other characters in a dlc for like 0.99 or something.","Feature requests",333
"979","Is there going to be any pre order bonuses or special editions of the game or not?i have to wait for my auntie to pay for the game so idk if I should wait till the collectors edition shows up or order it now","Feature requests",334
"980","Is there going to be any pre order bonuses or special editions of the game or not?i have to wait for my auntie to pay for the game so idk if I should wait till the collectors edition shows up or order it now Be the zombie is preorder.","Feature requests",335
"981","has anyone seen the co-op gameplay?! it looks amazing and be the zombie is gona be awesome love it, i need the game! when i go to gamestop and fell the case of Dying light in my hands im gona burst into tears of joy(mabe on fire for the exitement) then im gona need for speed my way to my ps3! ","Feature requests",336
"982","i personally would like to see that the developers, will put some love to the multiplayer i personally would pay for it as an dlc too, if its a multiplayer for the game and not just some maps (in other games they sell 5 maps for money). i love versus mp in left for dead something that keep that game still alive 9k players , so please add something similar with more then 1 playable monster , that you can join a random game with maybe 4 monsters ??? different ones and that there are lvl minigames aswell for multiplayeri dislike that only preorders get the option to play the multiplayer (zombie) unless it is a beta of the multiplayer which will be further developed and released as dlc  , woudnt had anything against it if they would offer a cosmetic item shop for clothing and alternative weapon finisher (animations or whatever)    here some ideas for monsters out Nasgoth a game i enjoy to play beside left for dead   http://www.twitch.tv/talespinlol/b/558165600 maybe can inspire for some multiplayer ideas or monster special ability  ideas Edited August 16, 2014 by derandy1234","Feature requests",337
"983","I thought we were going to use the armored looking zombie with gaping mouth from the first trailers,but now they Show this zombie that looks like a jockey from left 4 dead,I mean yeah it could work, but the whole defend the goo looking things kills it, we should be able to invade with out any notification or objectives, so that every person playing online would have that suspense of not knowing if they have been invaded, or that they are being slowly and quietly stalked, with a strong element of surprise for when the hunter zombie decides to attack.","Feature requests",338
"984","Ideas And Feature Requests For Dying Light Developers.","Feature requests",339
"985","I thought we were going to use the armored looking zombie with gaping mouth from the first trailers,but now they Show this zombie that looks like a jockey from left 4 dead,I mean yeah it could work, but the whole defend the goo looking things kills it, we should be able to invade with out any notification or objectives, so that every person playing online would have that suspense of not knowing if they have been invaded, or that they are being slowly and quietly stalked, with a strong element of surprise for when the hunter zombie decides to attack. I agree that the whole ""Defend the objective"" doesn't fit in with the ""Hunter"" at all. I do think it is fair enough to leave a notification. Dark Souls does it after all.Oh, i actually made a thread about issues i had with the current invasion system. And you might be interested in read it. http://forum.techland.pl/topic/206-issues-i-had-with-the-invasion-mechanic-in-detail/ Please do add up to the thread, that way there is a bigger chance that Techland will see it. ","Feature requests",340
"986","Yeah you are right, the player deserves to at least know he was invaded, but it also should be creative, like lets say an unusual scream that stands out on the distance, or a friend calling you on the radio to report unusual activity in your vecinity, something that keeps the suspense of a hunter lurking around. But still the objective thing should be replaced with something that is more part of what is happening, for example the hunter kills you and the player who was the hunter gets a random blueprint for a weapon/mod , but if the other player gets to a safezone, the hunter cannot get close because of the use of uv lights/heavy weaponry/defenses in general, and the surviving player gets the random blueprint/mod.","Feature requests",341
"987","Health re-generation but i think thats already there, and no points shown when killing zombies or zombie health shown","Feature requests",342
"988","Health re-generation but i think thats already there, and no points shown when killing zombies or zombie health shown I think health regeneration is okay, but only for easy, and normal mode. I'd love the see that only pick-ups can heal on hard/hardcore mode.","Feature requests",343
"989","I think health regeneration is okay, but only for easy, and normal mode. I'd love the see that only pick-ups can heal on hard/hardcore mode.Yea true but i thnk ill only play normal game looks hard","Feature requests",344
"990","I can't wait for the game to come out.  I think it will be a great idea if certain area's of the map would flood during gameplay do to bad weather making it difficult for zombies and players and also if you think it's a good idea to have in zombie mode or regular campaign where as if your energy is low and you die, you can come back as a zombie     ","Feature requests",345
"991","That's the biggest thing that upsetted me in dead rising 2 the same characters in multiplayer. It's really not very appealing to be looking at different ""you's"" in different costumes. I was hoping like a character customization like the new max Payne did. The face, all clothing, all accessories, weapons, skills. Hope they change that for the multiplayer. And on a completely different note. Just though of this actually while looking at my idevice. I'm hoping you guys are still adding music. Well why not just have to where your character has a iPhone. So important characters can contact you, could have a map, maybe a social network for standard survivors that need help, side missions, and of course music. Important characters could also text you coordinates for your map or take a picture of a building and send it to you saying you need to go here. Just a little thing I kinda liked lol. Edited August 19, 2014 by Jordan_valentine","Feature requests",346
"992","Small Question for all the General old and new commentators out there. Why aren't you all coming up with new ideas for Dying Light. Just asking.... ( PLEASE!! DON'T HURT ME! DX!)","Feature requests",347
"993","Dying Light: Weapon suggestions and ideas list: 1. A T-Shirt, Potato, Foose ball, Projectile etc Cannon (Semi-Automatic Air Launcher) or (SEMI AUTO ROTARY BARREL POTATO GUN)(Close, Mid, Long range weapons).  This is the links to their siteshttp://www.xinventions.com/main/spud/pac6.htmhttp://www.myaircannons.com/potatocannon.html 2. ULTRA MAGNUM MARSHMALLOW AIR CANNON (Close. Mid, Long range weapon). This is the sitehttp://www.myaircannons.com/ultramag.htmlEdited August 19, 2014 by Deadly_Jack","Feature requests",348
"994","Maybe give the player Blueprints, Recipes to make his/her own Improvised Melee and Range weapons (hand guns, rifles, shotguns, sub-machine guns orHand to hand melee combat weapons). or maybe give the Player the Ability to Create his/her own Improvised melee and range weapons. Blueprints and Recipes to make his/her own weapons mods for his/her own melee and range weapons.   (Now  I've added a small list for the improvised weapons) Like Improvised (hand guns)  Improvised  (grenade launcher) Improvised (rifles) Improvised (shotguns) Improvised (sub-machine guns) Gadgets suggestions and ideas list: 1. A Loud Recorder Device (that has a player recorded voice calling out to zombies to attract them) with a improvised remote explosive deviceattached to it (the player can throw this anywhere in the in-game world to attract zombies then remotely detonate it to make a spectacular bloodymess). This gadget can be used in both day or night gameplays and is a great Distracting/offensive weapon. Human ability suggestions and ideas list: 1. Give the Player to make improvised ammunition for improvised and regular range weapons.Edited August 19, 2014 by Deadly_Jack","Feature requests",349
"995","Oh and also the Ability to make some Improvised equipment in-game them for in-game use.","Feature requests",350
"996","Dying Light > Improvements I am posting here after a bloke on steam told me I should come here to support PC gamers who want a better quality game. This game looks promising as far as moving 'away' from the Dead Island series (Lets face it, it had pretty awful reviews). I love the idea of Infected becoming a real threat at night, implementation of sneaking is great too. Smooth running/jumping/climbing movement is another plus. A few things still really bother me (I don't think I'm the only one).I would love to see Dying Light move right away from the mechanics/crafting system/ other ideas that Dead Island had, I honestly hated the crafting system within that game, make bullets out of bleach and metal scrap? use wires and a battery and your have an electric blade or gun!? Seriously?! Here's what I would love to see:1: A more believable crafting/mod system. e.g. Craft ammunition out of, box of:Primers, gun powder, projectiles, shells (Not bleach and scrap metal for god sake). Also guys how about no modding of melee weapons, rather than modding it should really be upkeep! how about repair and replacement of dull blades, a new handle even.  Seriously, electric wrenches, burning baseball bats and electro shocking guns are just silly and should only be in children's games. If you want people to feel more powerful with melee weapons than you should be creating skills that allow you to utilize them better, drop the silly mods. For guns, allow the crafting or selling of hollow point bullets, ballistic tip bullets (No incendiary or electric ammo because that's just silly).2: Lose the Night Sense ability or at least make it an on/off option for people who want more immersion and realism. I love how at night the player is being hunted, combat becomes more challenging and it is better to run/hide than fight in most cases but than you go and add this ability... Don't you see how this works against the whole idea of night being a challenge? With the ability you are basically given wall hacks so you know where the threats are, essentially you are now, not scared or feel as though you are not under threat because you can see where all of the threats are. See what I mean? I understand you are probably just trying to make everyone happy, those who want a more realistic feeling game and a challenge and of course those who want magic and no challenge.3: Also on that note, I watched gameplay and saw the player with the magic ability I previously posted, as well as some kind of super power seismic smashing ability that makes zeds go flying back and X-Ray vision when looking for broken bones or something? (This isn't Sniper elite, please make that an on/off  option or drop it altogether) The character as a whole just has some very strange magic (or call it what you will) nonsense abilities. I would rather see the developers take a more realistic approach on the character. To me it seems like you started making a game that you wanted to be a challenge, than decided to cancel out the challenging aspects by adding silly abilities to help the player. I'm not saying make this game realistic like DayZ, just remove all the garbage that makes it similar to Dead Island. I have read over a lot of posts and it seems that the general public who are interested in this game, want to see this game's entirety be more realistic/believable. Rant.. Complete! Thanks for taking the time to read whether or not you are or aren't a Dying Light Developer. Oh and as always, for Pc anyway.. Please make this game easy for modding! a lot of the time, modders clean up mistakes and problems left behind after the game has sold. They can also do an overhaul on the game and make it better, e.g. Dead Island (No offense intended).","Feature requests",351
"997","Yes, get rid of the red light on the zombies at night, its like a zombie tracker, its not scary when you know where the zombies are, its scary when you dont know","Feature requests",352
"998","Well I think for the dead island reviews part. Its based on a gamers perspective. Me personally had a lot of fun with dead island (yes it was buggy as hell) but still fun. And all of the other stuff u said, I agree.","Feature requests",353
"999","Actually, I take that back sorry. I disagree with some stuff u said.             1. On the no modding weapons they should have it because it will make u feel more badass. (But don't go overboard like in dead rising) and 2. To get rid of the night sence thing would be ridiculous because u would die really easy without it. The ""pumped up"" zombies ain't nothin to mess with. But I'll agree with a turn on and off option. And if u want realism I would try going for H1Z1 not dying light. Because I think that realism is a good idea but not to much of it. BUTT, it could be in a dlc hardcore mode.Edited August 20, 2014 by TheGamer44536","Feature requests",354
"1000","Actually, I take that back sorry. I disagree with some stuff u said. 1. On the no modding weapons they should have it because it will make u feel more badass. (But don't go overboard like in dead rising) and 2. To get rid of the night sence thing would be ridiculous because u would die really easy without it. The ""pumped up"" zombies ain't nothin to mess with. But I'll agree with a turn on and off option. And if u want realism I would try going for H1Z1 not dying light. Because I think that realism is a good idea but not to much of it. BUTT, it could be in a dlc hardcore mode. Hardcore should be within the game. :3 Having it as DLC seems like a scam to me. xP Just wanted to throw that out there. On the topic of customised weapons. I agree that Dead Island went a bit over-the-top, but i wouldn't enjoy a very raw crafting system either. I'd like to see them balance it in the middle of both so that everyone can enjoy both sides.","Feature requests",355
"1001","Wow the devs haven't responded, oh lord they are leaving us in the dark DX Anyways I wanna add in some suggestionsThis can't be a parkour game with just wall climbing, with the Skill Tree turn the vault (lazy vault) into a kong then to a dashOh wait they already have rollingAnd then they added wall runAnd parkour is good to go !Add different languages my cousins want this game tooAdd power jumps as seen in mirrors edgeTake off night sense that kills the realismAdd physics not only to the zombie but yourself tooBecause literally if you crash to a wall your arm is not still going to be sticking out or if a zombie wacks your legs then you might do a bad frontflip Or face plant the floor (but still in first person)And please oh please don't let it be glitcheyMake long storyMake story have dramaYour good to go","Feature requests",356
"1002","I'd love to have this blade in dying light as a one handed combat weapon. Edited August 20, 2014 by Deadly_Jack","Feature requests",357
"1003","weapons suggestion and ideas list: 1. Two different kinds of (Homemade) Railguns 2. Improvised weapon Psycho Grenade (Four pill bottles duct-taped together full of finely grounded powdered super powerful Psychotic medications with small remoteexplosive devices placed inside of them with the medication). 3. Improvised weapon: A Flash Rifle (A high powered flash camera attached on any Rifle weapon to blind zombies, special infected, hostile humansfor some moments as the player shoots to kill). 4.Improvised weapon: Slime Grenade (Two lightly framed metal bottles filled with used motor-oil with highly effective remote explosive device inside both of them)This grenade can be used to slow down or even stop an advancing horde of undead coming at the player with the zombies slipping all over the place,enough for the player to make his/her quick escape or just to finish the horde off.  5. Improvised weapon: Oxynuke Grenade (Two Small super Compressed Oxygen Canisters duct-taped with a explosive device attached to the outside of the canister creating a mini air-Nuke Grenade). 6. Improvised weapon: A Knife carved out of stone. 7. Airsoft Grenade 8. A Chain-whip 9. Swords Carved out of stone.  10. A Axe weapon made from Green Limestone, Broad stone, and stone.  Gadgets suggestions and ideas list: 1. A climbable projectile launcher (long climbing spikes). 2. A powerful UV (Ultra Violet) Flash Bomb.Edited August 20, 2014 by Deadly_Jack","Feature requests",358
"1004"," I'm sure this one is already added: Imagine walking the streets of DL at night and then you hear this somewhere far away: http://youtu.be/7MTRMHMswRQ?t=52s Scary. --- I really think this game is not about the 1000 weapons or the cool skins (which are prolly nice), but this game is all about atmosphere. It sucks you in and makes you forget about your real problems for a while, and if its doing that, its accomplished its job. Like the Last of Us, you didnt play it for the weapons, but more cause of the things you experience, the things you explore and the things you see.I just dont think the game is about the big axe that has a specific camo color on it, which is glowing in the dark. I'm sure you Dev's read this article, if not give it a try: http://www.ign.com/articles/2014/02/26/what-makes-the-perfect-video-game I can just tell you DL has the potential to: - Be an unforgetable multiplayer- Have a great atmosphere- A well written story and characters  Just thank you to all Dev's & Co. Your newest trailer shows great realism, which I haven't seen somewhere else.Edited August 21, 2014 by SynticZ","Feature requests",359
"1005"," weapons suggestion and ideas list:[...]  1 vote for me on the ""Chain Whip"". Oh, did anyone mention ""nunchaku's"" yet? xPEdited August 21, 2014 by Bartosz BuczelukCut posts before quoting them","Feature requests",360
"1006","Something that really bothered me from dead island was the facial expressions, please dont make them lazy and cheap, I remember that in every situation they kept the same expression, even if they were sad, angry or even crying, the only thing that changed was the mouth for speaking, and even that was not syncronized.","Feature requests",361
"1007","Dear Techland,My only suggestion is this: please include as many customization options as possible. Beards, bananas, outfits, etc. One of the reasons I really didn't like Dead Island was that I felt the characters were really bland and uninteresting.Allowing us to customize our survivor really helps to build that immersion and sense of coolness. A lot of people will scoff at this and say customization is stupid and all that... But even games like Call of Duty, games where you almost never see your own character, are including these customization options. It's because people enjoy making their own character, customizing his appearance, and so forth.This is my 2 cents on the matter.--------------I realize I said ""bananas"" when I meant ""bandanas"" or baclavas or headgear.Damn autocorrect.Edited August 21, 2014 by Bartosz BuczelukYou do realize you could edit your previous post?","Feature requests",362
"1008","Dear Techland, My only suggestion is this: please include as many customization options as possible. Beards, bananas, outfits, etc. One of the reasons I really didn't like Dead Island was that I felt the characters were really bland and uninteresting. Allowing us to customize our survivor really helps to build that immersion and sense of coolness. A lot of people will scoff at this and say customization is stupid and all that... But even games like Call of Duty, games where you almost never see your own character, are including these customization options. It's because people enjoy making their own character, customizing his appearance, and so forth. This is my 2 cents on the matter. -------------- I realize I said ""bananas"" when I meant ""bandanas"" or baclavas or headgear. Damn autocorrect. But Purna wasn't ""Bland"". D: She was amazing and an outright beach. Cracking stupid jokes here and there.","Feature requests",363
"1009","I don't remember a single thing Purna said. I just didn't find any of the characters very compelling.","Feature requests",364
"1010","Ideas And Feature Requests For Dying Light Developers.","Feature requests",365
"1011","I don't remember a single thing Purna said. I just didn't find any of the characters very compelling. Well, i think they kind of went for the 'Average Joe' type of thing. Even though they weren't all that average. (ex-football player, One-hit wonder, Escort-bodyguard, and whatever Xian Mei was. xPI guess it is just a matter of time for us to find out.","Feature requests",366
"1012","Yeah Xian was like a flight attendant or something. They weren't ""bad"" characters I just wish they'd been fleshed out a little more. ","Feature requests",367
"1013","I really think this game is not about the 1000 weapons I agree with you on this. Just because borderlands has 187365918349560127 weapons doesn't mean its a good game. I like it so I think it is a good game but most of the guns are just named slightly differently to a weaker version of the same gun or are made by a different gun manufacturer. I would like to see a variety of different mods for weapons but not 100s of very similar mods that were just added to make the game seem like it has more weapons. They've already said they have about 150 base weapons which is enough for me already.","Feature requests",368
"1014","I was re-warching the gamecon be the hunter gameplay, what do you guys think of the superman-kind of jump the hunter has?? I kinda expected this fast parkour monster that chases you non-stop.","Feature requests",369
"1015","Sweet Mother of Bambi!! I just remembered what Dying Light Reminds me of so much......  Reminds me of (Ravenholm from Half-Life 2).. The Screaming... The Howling Fast Zombies.. and Howling Poison Zombies.. The Horror... Ohh the Horror.. I hate that place so much.. Because Old Town in Dying Light Reminds me of Ravenholm (at night). ""Deadly_Jack: Entering a room, as he opens the door the and closes the door behind him.."" ""(Half Life 2..) 3 Fast Zombies and two Poison Zombies rush into the room, Breaking down the wall and door like Toothpicks"". Deadly_Jack: Jacks computer volume is all the way up and has his head sets on and is playing late at night, and so. hears the fast, poison zombies come in screaming and howling.  Deadly_Jack: Jack's reaction to that sudden moment....in reality (Blood curdling  girlyest Screams ever) SCREAAAAAAAAAAAAAAM!!!!! ( MOMMY! MOMMY SAVE ME!! PWEASE! DX). Deadly_ Jack: Falls backwards off his chair and runs to theCorner and Assuming the Feedle Position rocking back and forth. back and forth... back and forth...Edited August 21, 2014 by Deadly_Jack","Feature requests",370
"1016","To all Viewers, Please Donate to the (Save Jacks Sanity) Charity Foundation. Lol joking, BUT PWEASE.. SAVE ME DxEdited August 21, 2014 by Deadly_Jack","Feature requests",371
"1017","My requests are. 1.) Long storymode 2.) 1 million side-missions 3.) Every building accessible 4.) No limitations at all 5.) When you finish story mode, it should let you be able to do side-missions after, not just end and you will have to start the story mode over. 6.) Craft weapons out of real sources like gun powder etc...","Feature requests",372
"1018","1. Skill: At a certain level the player can use use a really long indestructable wire as a hanging trap (this skill will let the player basiclly hang zombies,special infected, Virals, and Volitles, provanting them to even make a sound, in addition to that, the player can land to the ground from a high place whileholding on to the wire as he/she has caught a enemy and jumping off , acting as a counter weight and landing, then tieing the wire to a good spot on the ground,leaving the infected undead enemy hanging from the neck till sun rise to slow cook to death. This skill can come in handy at night time. Do comment and tell me what ya all think.","Feature requests",373
"1019","Character customization skins for cloths, and character and equipment ideas and suggestions list: 1 The Phantom","Feature requests",374
"1020","Character customization skins for cloths, and character and equipment ideas and suggestions list: 1 The Phantom   He looks so stupid yet hilarious.","Feature requests",375
"1021","He looks so stupid yet hilarious.But but =(........ Y U NO LIKE!! Y BRO! Y Q.Q Lol yeah he does, but hes The Ghost who walks again. The second pic of him looks like he can very well be prepared for Dying light.Edited August 22, 2014 by Deadly_Jack","Feature requests",376
"1022","I just looked over a few and I think I saw something about red dots where zombie locations were at night or all day. I think it would be cool just in a building and there's nothing then all a sudden there were like 20 dots coming around you on all sides and more coming. I would just like it a very short range so you'll know the last second. Just my opinion though lol.Edited August 22, 2014 by Jordan_valentine","Feature requests",377
"1023","Human abilities and skills suggestions and ideas list: 1. The ability to control two Virals, Common zombies, special infecteds, and Volitiles when the player reaches a certain genetic viral level of his/her infection, in-game.   2. The ability to control and command a flock or swarm of infected birds (any infected birds) to attack undead, or hostile humans, to distract, to lure, and theycan be stored in the player's inventory (the player's Shoulder).  Viral Undead mutated creature ideas and suggestions list: 1. An undead pregnant female special infected that when the player kills, her belly explodes and the unborn infected child comes out, fused together withit's mother's spine and ribcage, crawling after you fast, acting and looking almost like a twisted undead mutated giant long centipede or if the player kills thespecial infected pregnant female and the unborn special infected in her belly before it bursts out, the female after a few moments, bursts out of her corpse, justwith her spine attached to her head and ribcage, crawls after the player same as before, like a twisted undead mutation that looks like a giant centipeed (This special infected can climb just like all the other zombies in the game, in all it's three mutated forms and i call this special infected ""The Carrier""). 2. The undead mutated centipede female or unborn baby thing can also be like a underwater and above water special infected, maybe some escaped to the underground(Sewers) and evolved (like the Volitles do) and can now go on land (Like a centipede/snake hybrid, but more freaky looking) and can swim (Like a Sea-Snake as it pulls its crawling leg things inside of it's body when it's underwater to swim) and go after survivors (at day and at night), crying out, streaking as it chasesdown the player until it's killed. These things after they evolve, they move faster and this time can make their own sounds to lure unsuspecting victim to eat, hunt,and hunt in packs as well. When this thing is on the ground, it exhales green gas at the player when its close enough to slow him/her down then goes in for the kill (Flame and Electric weapons are effective agaisnt this thing and are semi effective when it's evolved), I call this special infected ""The RibCrawler"". 3. A Special evolved infected that is a dangerous night hunter like the Volitles, it jumps higher then volitles and can leap to other buildings and has the sameMandible jaw thing like Volitles, basically its a female version of a volitle that jumps high and leaps and climbs to hunt at night, I call this special evolvedinfected ""A Leaper"". Please do comment folks and I'll make new female undead monster mutations soon. Tell me what ya think, see ya soon.Edited August 22, 2014 by Deadly_Jack","Feature requests",378
"1024"," Human abilities and skills suggestions and ideas list: 1. The ability to control two Virals, Common zombies, special infecteds, and Volitiles when the player reaches a certain genetic viral level of his/her infection, in-game.   2. The ability to control and command a flock or swarm of infected birds (any infected birds) to attack undead, or hostile humans, to distract, to lure, and theycan be stored in the player's inventory (the player's Shoulder).  Viral Undead mutated creature ideas and suggestions list: 1. An undead pregnant female special infected that when the player kills, her belly explodes and the unborn infected child comes out, fused together withit's mother's spine and ribcage, crawling after you fast, acting and looking almost like a twisted undead mutated giant long centipede or if the player kills thespecial infected pregnant female and the unborn special infected in her belly before it bursts out, the female after a few moments, bursts out of her corpse, justwith her spine attached to her head and ribcage, crawls after the player same as before, like a twisted undead mutation that looks like a giant centipeed (This special infected can climb just like all the other zombies in the game, in all it's three mutated forms and i call this special infected ""The Carrier""). 2. The undead mutated centipede female or unborn baby thing can also be like a underwater and above water special infected, maybe some escaped to the underground(Sewers) and evolved (like the Volitles do) and can now go on land (Like a centipede/snake hybrid, but more freaky looking) and can swim (Like a Sea-Snake as it pulls its crawling leg things inside of it's body when it's underwater to swim) and go after survivors (at day and at night), crying out, streaking as it chasesdown the player until it's killed. These things after they evolve, they move faster and this time can make their own sounds to lure unsuspecting victim to eat, hunt,and hunt in packs as well. When this thing is on the ground, it exhales green gas at the player when its close enough to slow him/her down then goes in for the kill (Flame and Electric weapons are effective agaisnt this thing and are semi effective when it's evolved), I call this special infected ""The RibCrawler"". 3. A Special evolved infected that is a dangerous night hunter like the Volitles, it jumps higher then volitles and can leap to other buildings and has the sameMandible jaw thing like Volitles, basically its a female version of a volitle that jumps high and leaps and climbs to hunt at night, I call this special evolvedinfected ""A Leaper"". Please do comment folks and I'll make new female undead monster mutations soon. Tell me what ya think, see ya soon.  A ""Leaper""? Did you listen to ""We're Alive"" by any chance?","Feature requests",379
"1025","No not really, Why o.o?","Feature requests",380
"1026","Wait, Listening to it now, Why ya ask o.o?","Feature requests",381
"1027","Wait, Listening to it now, Why ya ask o.o?So you're listening to the podcast ""We're Alive"" right now? Because if you do, you will know why i asked this in due time. xP","Feature requests",382
"1028","Listening to this Metro Last Light -- Ranger Survival Guide Chapter 1 2 3 All 3 of them O.o I be PreparingI'm listening to the very beginning of it (Chapter 1). O.o TELL ME NOW DxEdited August 22, 2014 by Deadly_Jack","Feature requests",383
"1029","PWEASE JACKIE NEEDS TO KNOW NOW Dx","Feature requests",384
"1030"," Skill: At a certain level the player can use a really long indestructible wire as a hanging trap (this skill will let the player basically hang zombies,special infected, Virals, and Volitles, preventing them to even make a sound, in addition to that, the player can land to the ground from a high place whileholding on to the wire as he/she has caught a enemy and jumping off , acting as a counter weight and landing, then tieing the wire to a good spot on the ground,leaving the infected undead enemy hanging from the neck till sun rise to slow cook to death. This skill can come in handy at night time.Edited August 22, 2014 by Deadly_Jack","Feature requests",385
"1031","PWEASE JACKIE NEEDS TO KNOW NOW Dxhttp://www.zombiepodcast.com/listen/  Listen to every single chapter. You can thank me later. ;PEdited August 22, 2014 by HaNYolO","Feature requests",386
"1032","Dear Dying Light developersI don't mean to complain, but the hunter should be playable all the time, instead of just playable at night. There was potential in this zombie character, you could have given the Hunter a story as well. If there are other playable characters in what you all promise to be an even better story then Dead Island, wouldn't the night hunter have some kind of involvement with the 4 survivors, or Kyle? If you think about it, the night hunter is the 5th playable character in the game, so it means it has some kind of importance, or at least I thought it did. In fact, you could have involved the zombie in the story, like have the zombie get cutscenes as well. The story would have been the same, the 4 badass survivors would try and to figure out some way they can get out of the mess, while the very rare mutation of the virus (the invader), which can THINK, is hunting them, like a slasher. Complications would arise, as both the survivors and the hunter would struggle to stay alive, while murderous humans and other messed up mutations of the virus, aim to take all of them down. Who's to say the Night Hunter is liked by all the zombies? I can imagine it getting into a fight with those giant bruisers, just to eat some poor human, who had been scavenging for food. Just saying, you guys could have put more thought into what might have been another crucial part in the storyline.ï»¿ Still, I won't complain, since be the zombie mode is just you invading other players worlds, but please don't just have us protecting hives. The zombie is called the ""The Hunter"" not the guardian, or daddy, I just want to be able to stalk other players, not fight them until they kill all the hives. I was really hoping to at least have the zombie more accessible, it would give me the time and ability to actually level up the hunter. Heck light would have been it's perfect weakness, in daylight it wouldn't be able to use it's tendrils, it would have to use parkour like the humans would, and navigate around the map to get it's prey. This is all I have to say, but I only hope you all take this under consideration. If not everything else I said, then at least have us do more with the zombie, then have us just guard hives with one. I mean it's fine, but let it be a side mission for the hunter, and take out the whole invasion mode. Being the zombie would be more fun if  you just pitted players against each other in regular story mode, and not some different mode all together. Free roaming as the zombie would be nice.Edited August 23, 2014 by Dampierre1997","Feature requests",387
"1033","Since Techland has about 150 team members it shouldnt be that hard to accomplish new features. So I request that everything asked on this forum is considered, like bows,  vehicles maybe, over 100 weapons, splitscreen, wet surfaces etc...... What people ask should be considered","Feature requests",388
"1034","Since Techland has about 150 team members it shouldnt be that hard to accomplish new features. So I request that everything asked on this forum is considered, like bows, vehicles maybe, over 100 weapons, splitscreen, wet surfaces etc...... What people ask should be considered I hope you mean ""Could"" instead of should. Because they are in no way entitled to actually listen to us. The interaction they've been doing with the community is completely optional, and wouldn't probably be necessary in the first place.  Lets not take their actions for granted, and be happy with what we get.","Feature requests",389
"1035","Hi Sir,       I Know that the game is finished now but if it is possible then some ideas i have if u like then u can add in main game or in DLC Pack1.   Add Hunger , Thrist System ,2.   Add inventory System like Bag And Craft big bag to take extra weapon.3.   Add Animal Hunting and cooking.4.   Add weapon Show on body.5.   Add Companion Mod. 6.   Add kill cam effect with melee weapons or any other weapons.                                                      Sir if u add Hunger, thrist ,animalhunting and cooking then this game became so good because There are many people buy dayz , i also buy but  when we play game there main problem is Don't Trust to any one so many people play the dayz in singleplayer name it daizy . http://kodabar-dayz-daizy-single-player-forum.1084782.n5.nabble.com/ . there are many people who want the zombie survival game in pc with scavenging system. The STATE OF DECAY is Good game but in this game map is to small. so there is time where  we want to see  dying light in  new gameplay new character huge map and all ability of other games if u think                                                                                                                                                                                                     Thanks all of you                                                                                                                                                                                                     Yashraj18                                   ","Feature requests",390
"1036","Ideas And Feature Requests For Dying Light Developers.","Feature requests",391
"1037","I would like to see more than 20hours of story mode and with side missions all together 50hours of gameplay. People can finish that in a week or 2 then what? The guy Tymon S said that this map is 3-4 times bigger than Dead Island and theres only 50hours total of missions, thats to short. After you beat the game then your bored because theres nothing else to do. It should be that the side missions never end and things keep coming up over and over again like dead island 2 to keep you entertained.","Feature requests",392
